x,y,z,s,layer_index,turn_index,B_at_600A_T,angle_at_600A_deg,quench_current_A,status
0.007315991515622062,0.06418034024612343,0.005666666666666667,0.03731599151562206,1,381,7.4762386401275265,96.88435243459733,,never_quenched
0.004808184160873315,0.06772907008565067,0.010333333333333333,0.034808184160873314,0,381,10.44250456331448,108.17271890788187,524.3768905170608,ok
0.0026694939622675827,0.06353382688205482,0.004,0.03266949396226758,2,477,6.352740262496918,75.60989201175423,,never_quenched
0.0024423981613876386,0.06693260183861235,0.0014999999999999998,0.03244239816138764,2,477,11.557294429549332,72.77270938548735,538.2374083573844,ok
0.004354616600925063,0.059709010975780255,0.0016666666666666666,0.034354616600925064,2,477,4.938892429945161,21.060580241240103,571.4222753112891,ok
0.007390120951944197,0.06085077483020006,0.005333333333333333,0.037390120951944196,1,381,1.2926020669004255,65.51364507626288,,never_quenched
0.0014957839899421663,0.05834852979841051,-1.0842021724855044e-19,0.03149578398994216,3,477,6.967852204950222,24.08450184159325,503.9447729649766,ok
0.0014957839899421663,0.056473529798410506,-0.00033333333333333343,0.03149578398994216,3,477,8.258628530434292,21.86131888394768,470.639947370988,ok
0.0014976519446698163,0.058434492297958676,-0.0023333333333333335,0.031497651944669816,3,477,9.433468907664206,18.681000013494064,444.1624963864983,ok
0.0009374999999999967,0.063359375,-0.005666666666666667,0.030937499999999996,4,2,15.008668313091848,15.845395623182155,407.1375362826918,ok
0.012017513656436583,0.054251393913902886,0.011,0.04201751365643658,0,381,9.924977954813421,147.4827175894322,429.6170283371615,ok
0.006555798271721959,0.06453044213729393,0.009333333333333332,0.03655579827172196,0,381,8.443207812706284,121.1441906578502,494.7471889407139,ok
0.007934352450480613,0.06580604606208787,0.007666666666666666,0.037934352450480616,1,381,7.843821445845939,103.46760530522931,597.5024185665893,ok
0.008787106587419765,0.06409609204904926,0.008333333333333333,0.03878710658741977,0,381,8.71804645845072,127.9020226293414,473.85188475566065,ok
0.0037361756600743745,0.05034827326915429,0.008,0.03373617566007437,1,381,10.235032975796752,106.40731274174124,544.3301111386611,ok
0.003606324992754936,0.050211500794278344,0.009,0.033606324992754934,0,381,11.04309091245729,116.57941066606955,474.3441940923662,ok
0.007934352450480613,0.06580604606208787,0.006999999999999999,0.037934352450480616,1,381,7.738772389682613,99.63007495884905,,never_quenched
0.0037303521087635664,0.054808479402131585,0.006999999999999999,0.033730352108763566,1,381,6.131525014613132,121.0202678075536,563.8539773371622,ok
0.005685305096396502,0.05170620785323093,0.007666666666666667,0.0356853050963965,1,381,11.040154598443886,114.10779587894666,485.17559225308486,ok
