Temperature (K),Applied field (T),Applied field angle (°),𝘯-value
19.99,0.15,35,26.71
19.99,0.15,40,27.07
19.98,0.15,45,27.12
19.98,0.15,50,27.09
19.98,0.15,55,27.27
19.98,0.15,60,27.42
19.98,0.15,65,27.41
19.99,0.15,70,27.38
19.99,0.15,75,27.56
19.98,0.15,78,27.63
19.98,0.15,81,27.43
19.98,0.15,84,27.53
19.99,0.15,86,27.37
19.99,0.15,88,27.78
19.99,0.15,90,27.54
19.98,0.15,92,27.73
19.98,0.15,94,27.42
19.99,0.15,96,27.41
19.98,0.15,99,27.66
19.98,0.15,102,27.51
19.98,0.15,105,27.49
19.98,0.15,110,27.45
19.99,0.15,115,27.12
19.99,0.15,120,27.22
19.99,0.15,125,26.83
19.98,0.15,130,26.76
19.99,0.15,135,26.44
19.98,0.15,140,26.47
19.99,0.15,145,26.33
19.99,0.15,150,26.11
19.99,0.15,155,26.56
19.99,0.15,160,26.07
19.99,0.15,165,26.29
19.99,0.15,170,26.42
19.99,0.15,175,26.18
19.99,0.15,180,26.18
19.99,0.15,185,26
19.99,0.15,190,26.39
19.99,0.15,195,26.17
19.99,0.15,200,26.22
19.99,0.15,205,26.6
19.99,0.15,210,26.59
19.99,0.15,215,26.81
19.99,0.15,220,26.66
19.99,0.15,225,26.93
19.99,0.15,230,27.04
19.99,0.15,235,27.02
19.99,0.15,240,27.38
19.99,0.2,0,25.89
19.99,0.2,5,25.81
19.99,0.2,10,25.45
20,0.2,15,25.69
19.99,0.2,20,25.74
19.99,0.2,25,25.93
20,0.2,30,26.15
19.99,0.2,35,26.2
19.99,0.2,40,26.18
19.98,0.2,45,26.73
19.99,0.2,50,26.87
19.99,0.2,55,26.98
19.99,0.2,60,27.08
19.98,0.2,65,27.19
19.98,0.2,70,27.19
19.99,0.2,75,27.38
19.98,0.2,78,27.38
19.99,0.2,81,27.45
19.98,0.2,84,27.64
19.99,0.2,86,27.36
19.98,0.2,88,27.66
19.99,0.2,90,27.38
19.99,0.2,92,27.57
19.99,0.2,94,27.37
19.98,0.2,96,27.56
19.98,0.2,99,27.06
19.98,0.2,102,27.14
19.98,0.2,105,27
19.98,0.2,110,26.92
19.99,0.2,115,26.7
19.99,0.2,120,26.31
19.99,0.2,125,26.42
19.99,0.2,130,25.97
19.98,0.2,135,25.82
19.99,0.2,140,25.72
19.99,0.2,145,25.49
19.99,0.2,150,25.37
19.99,0.2,155,25.29
19.99,0.2,160,25.37
19.99,0.2,165,25.3
19.99,0.2,170,25.2
19.99,0.2,175,25.08
19.99,0.2,180,25.09
19.99,0.2,185,25
19.99,0.2,190,25.24
19.98,0.2,195,25.35
19.99,0.2,200,25.49
19.99,0.2,205,25.61
19.99,0.2,210,25.69
19.99,0.2,215,26.05
19.99,0.2,220,26.34
19.99,0.2,225,26.47
19.99,0.2,230,26.6
19.99,0.2,235,26.86
19.99,0.2,240,26.95
19.99,0.3,0,23.7
19.99,0.3,5,23.89
19.99,0.3,10,24
19.99,0.3,15,24.15
19.99,0.3,20,23.72
19.99,0.3,25,24.26
