Temperature (K),Applied field (T),Applied field angle (°),Critical current per cm width (A/cm)
19.99,0.7,10,3365.01
19.99,0.7,15,3380.32
19.99,0.7,20,3409.26
19.99,0.7,25,3431.44
20,0.7,30,3472.31
19.99,0.7,35,3523.69
20,0.7,40,3585.53
19.99,0.7,45,3666.61
19.99,0.7,50,3757.92
19.99,0.7,55,3880.88
19.99,0.7,60,4023.29
19.99,0.7,65,4188.82
19.99,0.7,70,4363.35
19.98,0.7,75,4530.82
19.98,0.7,78,4615.69
19.99,0.7,81,4679.3
19.98,0.7,84,4730.69
19.98,0.7,86,4754.39
19.98,0.7,88,4754.69
19.98,0.7,90,4750.63
19.99,0.7,92,4735.79
19.99,0.7,94,4710.22
19.98,0.7,96,4678.25
19.98,0.7,99,4598.15
19.98,0.7,102,4503.83
19.99,0.7,105,4406.06
19.99,0.7,110,4215.92
19.99,0.7,115,4040.94
19.99,0.7,120,3872.9
19.99,0.7,125,3746.57
19.99,0.7,130,3638.75
19.99,0.7,135,3549.97
19.99,0.7,140,3478.82
20,0.7,145,3420.81
19.99,0.7,150,3385.17
20,0.7,155,3347.83
19.99,0.7,160,3333.35
20.01,0.7,165,3323.76
20,0.7,170,3314.61
19.99,0.7,175,3316.59
20,0.7,180,3312.7
19.99,0.7,185,3334.15
20,0.7,190,3346.22
19.99,0.7,195,3362.93
19.99,0.7,200,3384.85
19.99,0.7,205,3418.29
20,0.7,210,3452.98
19.99,0.7,215,3498.94
19.99,0.7,220,3567.19
19.99,0.7,225,3638.7
19.99,0.7,230,3728.78
19.99,0.7,235,3845.78
19.99,0.7,240,3982.75
19.99,1,0,2962.06
20,1,5,2963.52
19.99,1,10,2970.14
19.99,1,15,2976.35
19.99,1,20,2992.98
19.99,1,25,3012.2
20,1,30,3044.46
19.99,1,35,3084.28
19.99,1,40,3138.65
20,1,45,3197.26
20,1,50,3271.61
20,1,55,3377.34
19.99,1,60,3519.39
19.99,1,65,3684.94
19.99,1,70,3931.05
19.99,1,75,4198.56
19.98,1,78,4356.24
19.98,1,81,4501.06
19.99,1,84,4598.05
19.98,1,86,4648.4
19.98,1,88,4671.87
19.98,1,90,4672.35
19.98,1,92,4633.39
19.98,1,94,4592.81
19.98,1,96,4508.78
19.99,1,99,4372.43
19.98,1,102,4195.49
19.99,1,105,4033.5
19.99,1,110,3773.52
19.99,1,115,3558
19.99,1,120,3398.08
20,1,125,3271.94
19.99,1,130,3177.89
19.99,1,135,3106.41
19.99,1,140,3043.58
19.99,1,145,2996.35
19.99,1,150,2970.81
19.99,1,155,2931.96
19.99,1,160,2929.75
20,1,165,2925.51
19.99,1,170,2921.11
19.99,1,175,2933.15
19.99,1,180,2942.81
20,1,185,2938.66
19.99,1,190,2958.66
19.99,1,195,2962.83
19.99,1,200,2984.07
19.99,1,205,3008.27
20,1,210,3041.17
19.99,1,215,3060.32
20,1,220,3119.37
19.99,1,225,3183.71
20,1,230,3261.85
20,1,235,3366.87
19.99,1,240,3510.85
19.99,1.5,0,2528.86
19.99,1.5,5,2533.09
19.99,1.5,10,2533.98
20,1.5,15,2534.05
20,1.5,20,2551.43
20,1.5,25,2568.74
20,1.5,30,2582.95
19.99,1.5,35,2628.78
19.99,1.5,40,2660.45
20,1.5,45,2711.64
20,1.5,50,2765.55
19.99,1.5,55,2833.11
19.99,1.5,60,2978.32
19.99,1.5,65,3111.95
20,1.5,70,3331.87
19.99,1.5,75,3632.34
19.99,1.5,78,3886.7
19.98,1.5,81,4158.54
19.98,1.5,84,4395.26
19.99,1.5,86,4503.17
19.98,1.5,88,4566.46
19.98,1.5,90,4563.05
19.98,1.5,92,4524.66
19.98,1.5,94,4399.98
19.98,1.5,96,4250.82
19.98,1.5,99,3984.25
19.99,1.5,102,3718.63
19.99,1.5,105,3483.53
19.99,1.5,110,3206.98
20,1.5,115,3012.28
19.99,1.5,120,2863.41
19.99,1.5,125,2762.77
20,1.5,130,2683.42
20,1.5,135,2623.55
20,1.5,140,2572.03
20,1.5,145,2551.45
20,1.5,150,2510.41
20,1.5,155,2500.13
19.99,1.5,160,2494.39
20,1.5,165,2489.27
20,1.5,170,2503.92
19.99,1.5,175,2503.95
20,1.5,180,2531.28
19.99,1.5,185,2532.75
20,1.5,190,2535.27
20,1.5,195,2520.07
20,1.5,200,2560.45
19.99,1.5,205,2559.18
20,1.5,210,2593.47
20,1.5,215,2594.42
20,1.5,220,2653.91
20,1.5,225,2702.25
19.99,1.5,230,2771.37
20,1.5,235,2854.2
19.99,1.5,240,2969.96
19.99,2,0,2236.41
20,2,5,2242.21
19.99,2,10,2238.08
19.99,2,15,2241.81
20,2,20,2242.56
20,2,25,2259.78
20,2,30,2280.85
20,2,35,2295.95
19.99,2,40,2337.24
20,2,45,2376.01
19.99,2,50,2430.89
20,2,55,2500.96
20,2,60,2617.31
20,2,65,2738.91
19.99,2,70,2919.67
19.99,2,75,3208.3
19.99,2,78,3460.63
20,2,81,3799.4
19.98,2,84,4167.67
19.99,2,86,4370.66
19.98,2,88,4487.08
19.98,2,90,4495.89
19.98,2,92,4434.15
19.98,2,94,4244.77
19.98,2,96,3988.59
19.98,2,99,3623.87
19.99,2,102,3321.33
19.99,2,105,3081.81
19.99,2,110,2817.34
20,2,115,2647.92
20,2,120,2517.62
19.99,2,125,2427.79
19.99,2,130,2359.46
19.99,2,135,2300.93
20,2,140,2255.51
20,2,145,2229.13
20,2,150,2204.6
20,2,155,2188.33
20,2,160,2187.55
20,2,165,2212.21
19.99,2,170,2204.74
20,2,175,2215.5
19.99,2,180,2219.21
20,2,185,2227.53
20,2,190,2261.01
20,2,195,2248.69
20,2,200,2248.64
19.99,2,205,2266.45
20,2,210,2275.77
19.99,2,215,2276.64
19.99,2,220,2338.47
20,2,225,2386.78
20,2,230,2443.68
20,2,235,2508.52
20,2,240,2606.69
19.99,3,0,1827.18
20,3,5,1833.43
19.99,3,10,1828.42
19.99,3,15,1838.63
20,3,20,1821.15
20,3,25,1841.51
20,3,30,1833.81
20,3,35,1845.79
19.99,3,40,1874.22
19.99,3,45,1902.39
20,3,50,1950.4
19.99,3,55,2023.29
20,3,60,2102.24
20,3,65,2203.56
20,3,70,2355.83
20,3,75,2604.19
19.99,3,78,2822.8
19.99,3,81,3152.42
19.99,3,84,3673.64
19.99,3,86,4047.3
19.99,3,88,4331.11
19.99,3,90,4395.93
19.99,3,92,4211.02
19.99,3,94,3872.31
19.99,3,96,3470.35
19.99,3,99,3004.24
20,3,102,2714.85
20,3,105,2509.41
20,3,110,2266.66
20,3,115,2131.65
20,3,120,2026.05
20,3,125,1952.1
20.01,3,130,1892.46
20,3,135,1844.23
20,3,140,1811.7
19.99,3,145,1789.97
20,3,150,1774.95
20,3,155,1771.7
20,3,160,1779.1
20,3,165,1783.33
20,3,170,1791.37
20,3,175,1803.78
20,3,180,1828.21
20,3,185,1829.03
20,3,190,1829.23
19.99,3,195,1838.33
20,3,200,1826.99
20,3,205,1832.86
19.99,3,210,1834.78
20,3,215,1836.77
20,3,220,1886.03
20,3,225,1924.97
19.99,3,230,1975.29
19.99,3,235,2021.24
20,3,240,2113.99
19.99,5,0,1366.05
19.99,5,5,1381.95
20,5,10,1375.26
20,5,15,1381.93
20,5,20,1356.07
20,5,25,1372.52
20,5,30,1393.72
20,5,35,1396.41
20,5,40,1390.94
20,5,45,1438.15
19.99,5,50,1460.12
20,5,55,1512.39
20,5,60,1570.53
20,5,65,1629.69
20,5,70,1756.31
20,5,75,1940.86
20,5,78,2099.43
20,5,81,2385.58
19.99,5,84,2843.32
20,5,86,3387.04
19.98,5,88,4074.77
19.99,5,90,4320.6
19.99,5,92,4015.5
19.99,5,94,3280.17
19.99,5,96,2743.52
19.99,5,99,2326.94
20,5,102,2045.08
20,5,105,1902.86
20,5,110,1693.17
20,5,115,1590.13
20,5,120,1538.09
20,5,125,1441.73
20,5,130,1404.82
20,5,135,1383.63
19.99,5,140,1351.77
20,5,145,1345.41
19.99,5,150,1339.92
20,5,155,1323.19
19.99,5,160,1345.25
20,5,165,1334.83
20,5,170,1344.01
20,5,175,1350.1
19.99,5,180,1361.39
