Starting CMA-ES: 9 variables, budget 400 evaluations, target B >= 10.0 T, uniformity <= 1.0%, hoop <= 400 MPa, coil-coil face gap >= 3 mm

Parallel mode: 6 worker processes per generation.
  [a=44 b=83 nt=2937] KSP converged reason: 4, iterations: 1
  [a=44 b=87 nt=2941] KSP converged reason: 4, iterations: 1
  [a=39 b=62 nt=2927] KSP converged reason: 4, iterations: 1
  [a=43 b=85 nt=2933] KSP converged reason: 4, iterations: 1
  [a=42 b=82 nt=2447] KSP converged reason: 4, iterations: 1
  [a=49 b=85 nt=2504] KSP converged reason: 4, iterations: 1
  [a=55 b=100 nt=3423] KSP converged reason: 4, iterations: 1
  [a=45 b=81 nt=2713] KSP converged reason: 4, iterations: 1
  [a=36 b=78 nt=2665] KSP converged reason: 4, iterations: 1
  [a=40 b=59 nt=3112] KSP converged reason: 4, iterations: 1
  [a=42 b=68 nt=3016] KSP converged reason: 4, iterations: 1
  [a=46 b=70 nt=3300] KSP converged reason: 4, iterations: 1
  [a=43 b=75 nt=2961] KSP converged reason: 4, iterations: 1
  [a=43 b=65 nt=3231] KSP converged reason: 4, iterations: 1
  [a=44 b=65 nt=2938] KSP converged reason: 4, iterations: 1
  [a=42 b=49 nt=2448] KSP converged reason: 4, iterations: 1
  [a=45 b=53 nt=2825] KSP converged reason: 4, iterations: 1
  [a=46 b=66 nt=2729] KSP converged reason: 4, iterations: 1
  [a=41 b=55 nt=2902] KSP converged reason: 4, iterations: 1
  [a=38 b=49 nt=3266] KSP converged reason: 4, iterations: 1
  [a=35 b=49 nt=2596] KSP converged reason: 4, iterations: 1
  [a=35 b=50 nt=2696] KSP converged reason: 4, iterations: 1
  [a=41 b=48 nt=2798] KSP converged reason: 4, iterations: 1
  [a=41 b=52 nt=2976] KSP converged reason: 4, iterations: 1
  [a=35 b=52 nt=2900] KSP converged reason: 4, iterations: 1
  [a=35 b=51 nt=2455] KSP converged reason: 4, iterations: 1
  [a=34 b=40 nt=1307] KSP converged reason: 4, iterations: 1
  [a=61 b=90 nt=2842] KSP converged reason: 4, iterations: 1
  [a=42 b=58 nt=2895] KSP converged reason: 4, iterations: 1
  [a=46 b=53 nt=3287] KSP converged reason: 4, iterations: 1
  [a=40 b=52 nt=3947] KSP converged reason: 4, iterations: 1
  [a=72 b=86 nt=4543] KSP converged reason: 4, iterations: 1
  [a=52 b=74 nt=3497] KSP converged reason: 4, iterations: 1
  [a=51 b=96 nt=3639] KSP converged reason: 4, iterations: 1
  [a=46 b=52 nt=3131] KSP converged reason: 4, iterations: 1
  [a=49 b=58 nt=3290] KSP converged reason: 4, iterations: 1
  [a=56 b=99 nt=3393] KSP converged reason: 4, iterations: 1
  [a=37 b=101 nt=1398] KSP converged reason: 4, iterations: 1
  [a=39 b=67 nt=3246] KSP converged reason: 4, iterations: 1
  [a=47 b=83 nt=3475] KSP converged reason: 4, iterations: 1
  [a=64 b=94 nt=3603] KSP converged reason: 4, iterations: 1
  [a=37 b=83 nt=4215] KSP converged reason: 4, iterations: 1
  [a=40 b=97 nt=4363] KSP converged reason: 4, iterations: 1
  [a=40 b=75 nt=3403] KSP converged reason: 4, iterations: 1
  [a=42 b=68 nt=2930] KSP converged reason: 4, iterations: 1
  [a=42 b=51 nt=2353] KSP converged reason: 4, iterations: 1
  [a=51 b=68 nt=4109] KSP converged reason: 4, iterations: 1
  [a=49 b=105 nt=3416] KSP converged reason: 4, iterations: 1
  [a=47 b=66 nt=3372] KSP converged reason: 4, iterations: 1
  [a=45 b=91 nt=3334] KSP converged reason: 4, iterations: 1
  [a=53 b=87 nt=3068] KSP converged reason: 4, iterations: 1
  [a=46 b=83 nt=2870] KSP converged reason: 4, iterations: 1
  [a=52 b=99 nt=3289] KSP converged reason: 4, iterations: 1
  [a=51 b=75 nt=2664] KSP converged reason: 4, iterations: 1
  [a=41 b=78 nt=2458] KSP converged reason: 4, iterations: 1
  [a=46 b=85 nt=3088] KSP converged reason: 4, iterations: 1
  [a=42 b=70 nt=2833] KSP converged reason: 4, iterations: 1
  [a=39 b=58 nt=2704] KSP converged reason: 4, iterations: 1
  [a=45 b=85 nt=3167] KSP converged reason: 4, iterations: 1
  [a=47 b=78 nt=2885] KSP converged reason: 4, iterations: 1
  [a=49 b=74 nt=3209] KSP converged reason: 4, iterations: 1
  [a=42 b=65 nt=3254] KSP converged reason: 4, iterations: 1
  [a=49 b=63 nt=3176] KSP converged reason: 4, iterations: 1
  [a=48 b=55 nt=2471] KSP converged reason: 4, iterations: 1
  [a=41 b=65 nt=2896] KSP converged reason: 4, iterations: 1
  [a=44 b=60 nt=3202] KSP converged reason: 4, iterations: 1
  [a=41 b=56 nt=3292] KSP converged reason: 4, iterations: 1
  [a=39 b=72 nt=2703] KSP converged reason: 4, iterations: 1
  [a=38 b=47 nt=2728] KSP converged reason: 4, iterations: 1
  [a=37 b=52 nt=2696] KSP converged reason: 4, iterations: 1
  [a=41 b=59 nt=3263] KSP converged reason: 4, iterations: 1
  [a=36 b=42 nt=1962] KSP converged reason: 4, iterations: 1
  [a=19 b=32 nt=1702] KSP converged reason: 4, iterations: 1
  [a=38 b=47 nt=2182] KSP converged reason: 4, iterations: 1
  [a=58 b=106 nt=2717] KSP converged reason: 4, iterations: 1
  [a=52 b=63 nt=2591] KSP converged reason: 4, iterations: 1
  [a=60 b=83 nt=3836] KSP converged reason: 4, iterations: 1
  [a=37 b=56 nt=2662] KSP converged reason: 4, iterations: 1
  [a=40 b=47 nt=2671] KSP converged reason: 4, iterations: 1
  [a=60 b=95 nt=3217] KSP converged reason: 4, iterations: 1
  [a=55 b=80 nt=4416] KSP converged reason: 4, iterations: 1
  [a=46 b=79 nt=3537] KSP converged reason: 4, iterations: 1
  [a=56 b=68 nt=3885] KSP converged reason: 4, iterations: 1
  [a=39 b=54 nt=3906] KSP converged reason: 4, iterations: 1
  [a=48 b=64 nt=3668] KSP converged reason: 4, iterations: 1
  [a=67 b=89 nt=2844] KSP converged reason: 4, iterations: 1
  [a=57 b=74 nt=3742] KSP converged reason: 4, iterations: 1
  [a=54 b=79 nt=3822] KSP converged reason: 4, iterations: 1
  [a=35 b=94 nt=3731] KSP converged reason: 4, iterations: 1
  [a=54 b=84 nt=3915] KSP converged reason: 4, iterations: 1
  [a=54 b=100 nt=2561] KSP converged reason: 4, iterations: 1
  [a=59 b=78 nt=2918] KSP converged reason: 4, iterations: 1
  [a=54 b=94 nt=3073] KSP converged reason: 4, iterations: 1
  [a=44 b=70 nt=2985] KSP converged reason: 4, iterations: 1
  [a=38 b=81 nt=3445] KSP converged reason: 4, iterations: 1
  [a=37 b=72 nt=2657] KSP converged reason: 4, iterations: 1
  [a=40 b=91 nt=3383] KSP converged reason: 4, iterations: 1
  [a=40 b=80 nt=2531] KSP converged reason: 4, iterations: 1
  [a=49 b=88 nt=2688] KSP converged reason: 4, iterations: 1
  [a=45 b=87 nt=3125] KSP converged reason: 4, iterations: 1
  [a=54 b=91 nt=3272] KSP converged reason: 4, iterations: 1
  [a=43 b=75 nt=2843] KSP converged reason: 4, iterations: 1
  [a=47 b=92 nt=3003] KSP converged reason: 4, iterations: 1
  [a=44 b=83 nt=3367] KSP converged reason: 4, iterations: 1
  [a=51 b=95 nt=2799] KSP converged reason: 4, iterations: 1
  [a=47 b=76 nt=3275] KSP converged reason: 4, iterations: 1
  [a=42 b=77 nt=2713] KSP converged reason: 4, iterations: 1
  [a=45 b=75 nt=3158] KSP converged reason: 4, iterations: 1
  [a=41 b=75 nt=3367] KSP converged reason: 4, iterations: 1
  [a=39 b=76 nt=2946] KSP converged reason: 4, iterations: 1
  [a=49 b=72 nt=2956] KSP converged reason: 4, iterations: 1
  [a=41 b=56 nt=2707] KSP converged reason: 4, iterations: 1
  [a=44 b=51 nt=2653] KSP converged reason: 4, iterations: 1
  [a=41 b=56 nt=2691] KSP converged reason: 4, iterations: 1
  [a=48 b=63 nt=2766] KSP converged reason: 4, iterations: 1
  [a=36 b=51 nt=2737] KSP converged reason: 4, iterations: 1
  [a=44 b=71 nt=3296] KSP converged reason: 4, iterations: 1
  [a=39 b=48 nt=2699] KSP converged reason: 4, iterations: 1
  [a=37 b=46 nt=2808] KSP converged reason: 4, iterations: 1
  [a=37 b=52 nt=2807] KSP converged reason: 4, iterations: 1
  [a=37 b=56 nt=2924] KSP converged reason: 4, iterations: 1
  [a=39 b=52 nt=2633] KSP converged reason: 4, iterations: 1
  [a=36 b=45 nt=2795] KSP converged reason: 4, iterations: 1
  [a=21 b=28 nt=1519] KSP converged reason: 4, iterations: 1
  [a=37 b=51 nt=2174] KSP converged reason: 4, iterations: 1
  [a=34 b=62 nt=3248] KSP converged reason: 4, iterations: 1
  [a=55 b=90 nt=2536] KSP converged reason: 4, iterations: 1
  [a=40 b=57 nt=2714] KSP converged reason: 4, iterations: 1
  [a=63 b=90 nt=3543] KSP converged reason: 4, iterations: 1
  [a=63 b=72 nt=4169] KSP converged reason: 4, iterations: 1
  [a=42 b=47 nt=3893] KSP converged reason: 4, iterations: 1
  [a=64 b=70 nt=3184] KSP converged reason: 4, iterations: 1
  [a=69 b=76 nt=3962] KSP converged reason: 4, iterations: 1
  [a=51 b=58 nt=3553] KSP converged reason: 4, iterations: 1
  [a=51 b=62 nt=3774] KSP converged reason: 4, iterations: 1
  [a=47 b=62 nt=4254] KSP converged reason: 4, iterations: 1
  [a=61 b=80 nt=3715] KSP converged reason: 4, iterations: 1
  [a=40 b=68 nt=2611] KSP converged reason: 4, iterations: 1
  [a=46 b=59 nt=3428] KSP converged reason: 4, iterations: 1
  [a=66 b=106 nt=3148] KSP converged reason: 4, iterations: 1
  [a=78 b=117 nt=3987] KSP converged reason: 4, iterations: 1
  [a=41 b=95 nt=3224] KSP converged reason: 4, iterations: 1
  [a=37 b=75 nt=3940] KSP converged reason: 4, iterations: 1
  [a=52 b=91 nt=3655] KSP converged reason: 4, iterations: 1
  [a=54 b=86 nt=3242] KSP converged reason: 4, iterations: 1
  [a=34 b=76 nt=3149] KSP converged reason: 4, iterations: 1
  [a=45 b=72 nt=3335] KSP converged reason: 4, iterations: 1
  [a=49 b=101 nt=2459] KSP converged reason: 4, iterations: 1
  [a=47 b=95 nt=2512] KSP converged reason: 4, iterations: 1
  [a=45 b=69 nt=2870] KSP converged reason: 4, iterations: 1
  [a=42 b=103 nt=3568] KSP converged reason: 4, iterations: 1
  [a=52 b=84 nt=3517] KSP converged reason: 4, iterations: 1
  [a=48 b=82 nt=3104] KSP converged reason: 4, iterations: 1
  [a=43 b=88 nt=3232] KSP converged reason: 4, iterations: 1
  [a=53 b=93 nt=3404] KSP converged reason: 4, iterations: 1
  [a=41 b=65 nt=2972] KSP converged reason: 4, iterations: 1
  [a=38 b=64 nt=3176] KSP converged reason: 4, iterations: 1
  [a=37 b=81 nt=3088] KSP converged reason: 4, iterations: 1
  [a=45 b=67 nt=2865] KSP converged reason: 4, iterations: 1
  [a=45 b=66 nt=2866] KSP converged reason: 4, iterations: 1
  [a=42 b=70 nt=3134] KSP converged reason: 4, iterations: 1
  [a=42 b=71 nt=3436] KSP converged reason: 4, iterations: 1
  [a=48 b=67 nt=2835] KSP converged reason: 4, iterations: 1
  [a=43 b=69 nt=2873] KSP converged reason: 4, iterations: 1
  [a=48 b=66 nt=2776] KSP converged reason: 4, iterations: 1
  [a=43 b=58 nt=2661] KSP converged reason: 4, iterations: 1
  [a=40 b=59 nt=2418] KSP converged reason: 4, iterations: 1
  [a=38 b=52 nt=2761] KSP converged reason: 4, iterations: 1
  [a=35 b=46 nt=3004] KSP converged reason: 4, iterations: 1
  [a=40 b=48 nt=2937] KSP converged reason: 4, iterations: 1
  [a=42 b=63 nt=2741] KSP converged reason: 4, iterations: 1
  [a=41 b=51 nt=2915] KSP converged reason: 4, iterations: 1

  [ 410] OK     f=   1.003  a=41.1 b=51.4 gap=21.8 (face=19.6mm) n=[785, 537, 51, 577, 612, 353]  tape=1.003km B=12.42T unif=0.809% hoop=236MPa

==========================================================================================
CMA-ES finished: 410 evaluations in 9.4 min
==========================================================================================

Best feasible design found:
  a_mm             41.79078182546756
  b_mm             48.67587642815127
  gap_mm           22.63659931852263
  face_gap_mm      21.273198637045265
  n_turns          [346, 637, 233, 667, 510, 55]
  n_total          2448
  tape_km          0.7915080996892522
  B_target_T       10.18109383132955
  uniformity_pct   0.4929303777114261
  hoop_MPa         206.8549042049034
  delam_MPa        16.818356261816863
  I_quench_A       406.78122187344803
  I_op_A           223.75204723511993
  binding          quench/SF
  clip_frac        0.1257383966244726

Full evaluation history -> optimize/cmaes_history.csv
Best design            -> optimize/cmaes_results.csv
Appended 410 rows to cumulative master log -> optimize/cmaes_all_evaluations.csv

Figures -> /home/gerrityjack/fenicsx/Racetrack-Coil-Optimization/visualization/cmaes_convergence.png, cmaes_constraints.png, cmaes_variables.png, cmaes_overview.png
Cumulative parameter-space map -> visualization/cmaes_param_map.png (32128 evaluations, 90 runs)
