Starting CMA-ES: 9 variables, budget 400 evaluations, target B >= 10.0 T, uniformity <= 1.0%, hoop <= 400 MPa, coil-coil face gap >= 3 mm

Parallel mode: 6 worker processes per generation.
  [  66] viol   f= 238.264  a=37.9 b=53.0 gap=15.5 (face=6.9mm) n=[317, 832, 789, 341, 113, 121]  tape=0.875km B=12.83T unif=2.089% hoop=226MPa
  [  67] INFEAS f=1028.916  a=56.1 b=60.2 gap=26.0 (face=28.1mm) n=[624, 891, 598, 900, 643, 225]  no evaluation (geometry pre-check)
  [  68] INFEAS f=15784.126  a=22.0 b=38.5 gap=20.7 (face=17.4mm) n=[106, 576, 815, 241, 481, 412]  no evaluation (geometry pre-check)
  [  69] INFEAS f=2166.814  a=33.4 b=48.5 gap=17.4 (face=10.8mm) n=[123, 897, 129, 244, 82, 666]  no evaluation (geometry pre-check)
  [  70] viol   f=   1.695  a=55.7 b=80.0 gap=28.7 (face=33.4mm) n=[71, 853, 758, 898, 449, 309]  tape=1.630km B=9.82T unif=0.514% hoop=268MPa
  [  71] viol   f=  23.569  a=58.0 b=105.9 gap=37.1 (face=50.2mm) n=[148, 892, 115, 749, 727, 86]  tape=1.627km B=6.69T unif=0.382% hoop=265MPa
  [  72] viol   f=  63.127  a=60.6 b=89.6 gap=14.8 (face=5.5mm) n=[332, 818, 742, 703, 112, 135]  tape=1.522km B=9.80T unif=1.555% hoop=350MPa
  [  73] viol   f=   5.574  a=55.6 b=67.8 gap=19.4 (face=14.8mm) n=[53, 848, 458, 631, 899, 526]  tape=1.514km B=12.06T unif=1.142% hoop=348MPa
  [  74] viol   f=   4.828  a=60.1 b=77.1 gap=39.5 (face=55.1mm) n=[202, 887, 731, 898, 361, 558]  tape=1.775km B=8.76T unif=0.524% hoop=283MPa
  [  75] viol   f=  22.372  a=54.6 b=90.3 gap=32.9 (face=41.8mm) n=[140, 807, 352, 585, 580, 72]  tape=1.366km B=6.76T unif=0.498% hoop=292MPa
  [  76] viol   f=  21.414  a=38.0 b=74.2 gap=13.9 (face=3.7mm) n=[328, 710, 418, 382, 473, 278]  tape=1.136km B=11.09T unif=1.318% hoop=297MPa
  [  77] viol   f=  97.048  a=33.1 b=79.8 gap=16.2 (face=8.3mm) n=[206, 771, 681, 492, 171, 751]  tape=1.314km B=13.48T unif=1.692% hoop=220MPa
  [  78] viol   f=   1.093  a=39.9 b=56.7 gap=24.9 (face=25.8mm) n=[90, 846, 210, 660, 621, 287]  tape=1.010km B=9.80T unif=0.516% hoop=182MPa
  [  79] viol   f=   4.538  a=52.1 b=63.0 gap=25.1 (face=26.2mm) n=[335, 837, 392, 146, 203, 678]  tape=1.121km B=8.69T unif=0.304% hoop=248MPa
  [  80] INFEAS f=1042.093  a=45.0 b=49.0 gap=17.4 (face=10.8mm) n=[479, 882, 553, 529, 522, 614]  no evaluation (geometry pre-check)
  [  81] viol   f= 104.646  a=42.3 b=57.8 gap=16.7 (face=9.4mm) n=[679, 273, 446, 359, 714, 424]  tape=1.070km B=12.38T unif=1.720% hoop=290MPa
  [  82] viol   f=   2.986  a=35.3 b=63.7 gap=30.0 (face=36.0mm) n=[346, 568, 502, 690, 273, 541]  tape=1.092km B=9.03T unif=0.242% hoop=192MPa
  [  83] OK     f=   1.026  a=39.4 b=54.7 gap=21.6 (face=19.3mm) n=[374, 800, 366, 371, 477, 334]  tape=1.026km B=10.77T unif=0.497% hoop=335MPa
  [  84] OK     f=   1.925  a=60.1 b=82.8 gap=28.8 (face=33.5mm) n=[557, 696, 421, 807, 612, 743]  tape=1.925km B=10.72T unif=0.563% hoop=355MPa
  [  85] viol   f=   2.456  a=63.1 b=90.3 gap=28.7 (face=33.4mm) n=[152, 809, 495, 642, 884, 561]  tape=1.955km B=9.50T unif=0.583% hoop=366MPa
  [  86] INFEAS f=9681.160  a=58.7 b=48.9 gap=26.3 (face=28.5mm) n=[395, 780, 304, 716, 645, 846]  no evaluation (geometry pre-check)
  [  87] INFEAS f=3511.192  a=44.2 b=41.3 gap=27.6 (face=31.1mm) n=[99, 727, 204, 488, 538, 144]  no evaluation (geometry pre-check)
  [  88] INFEAS f=2663.972  a=32.8 b=45.2 gap=21.1 (face=18.2mm) n=[390, 899, 54, 551, 355, 81]  no evaluation (geometry pre-check)
  [  89] viol   f=  44.309  a=55.1 b=66.4 gap=23.8 (face=23.7mm) n=[266, 589, 273, 361, 229, 175]  tape=0.837km B=6.50T unif=1.308% hoop=264MPa
  [  90] INFEAS f=8850.688  a=35.8 b=26.8 gap=18.2 (face=12.4mm) n=[612, 828, 92, 519, 52, 107]  no evaluation (geometry pre-check)
  [  91] INFEAS f=2534.496  a=68.9 b=67.7 gap=23.9 (face=23.8mm) n=[324, 884, 686, 889, 594, 599]  no evaluation (geometry pre-check)
  [  92] OK     f=   1.576  a=55.0 b=64.5 gap=22.9 (face=21.7mm) n=[477, 801, 504, 712, 900, 239]  tape=1.576km B=12.56T unif=0.740% hoop=356MPa
  [  93] viol   f=   9.174  a=40.8 b=50.7 gap=30.9 (face=37.7mm) n=[523, 525, 239, 138, 843, 612]  tape=1.022km B=8.55T unif=1.141% hoop=256MPa
  [  94] viol   f= 157.557  a=46.3 b=53.2 gap=14.5 (face=5.1mm) n=[84, 896, 842, 451, 697, 317]  tape=1.198km B=15.25T unif=1.884% hoop=278MPa
  [  95] INFEAS f=1049.806  a=35.9 b=42.6 gap=26.3 (face=28.7mm) n=[496, 895, 389, 757, 401, 501]  no evaluation (geometry pre-check)
  [  96] viol   f=   1.971  a=37.0 b=56.3 gap=28.2 (face=32.4mm) n=[512, 723, 68, 253, 647, 459]  tape=0.929km B=9.28T unif=0.622% hoop=173MPa
  [  97] OK     f=   1.953  a=63.2 b=72.3 gap=37.3 (face=50.7mm) n=[410, 494, 889, 818, 778, 780]  tape=1.953km B=10.18T unif=0.821% hoop=377MPa
  [  98] viol   f=   7.131  a=46.7 b=72.8 gap=23.9 (face=23.9mm) n=[313, 634, 698, 162, 268, 235]  tape=1.030km B=8.28T unif=1.032% hoop=234MPa
  [  99] OK     f=   1.290  a=43.6 b=60.3 gap=21.8 (face=19.5mm) n=[726, 337, 386, 538, 806, 530]  tape=1.290km B=12.18T unif=0.939% hoop=292MPa
  [ 100] viol   f=  31.990  a=49.2 b=92.9 gap=38.3 (face=52.5mm) n=[318, 367, 376, 840, 389, 384]  tape=1.498km B=6.10T unif=0.286% hoop=357MPa
  [ 101] INFEAS f=4837.641  a=56.6 b=51.8 gap=21.7 (face=19.5mm) n=[102, 469, 506, 361, 819, 413]  no evaluation (geometry pre-check)
  [ 102] OK     f=   1.321  a=40.5 b=52.4 gap=15.9 (face=7.9mm) n=[603, 134, 632, 900, 877, 801]  tape=1.321km B=16.83T unif=0.848% hoop=292MPa
  [ 103] INFEAS f=1699.778  a=45.9 b=46.7 gap=32.0 (face=40.0mm) n=[262, 203, 693, 837, 888, 383]  no evaluation (geometry pre-check)
  [ 104] viol   f= 408.266  a=41.7 b=47.2 gap=27.2 (face=30.4mm) n=[648, 384, 503, 827, 742, 789]  tape=1.234km B=12.71T unif=2.427% hoop=241MPa
  [ 105] viol   f=   5.844  a=61.8 b=75.9 gap=30.5 (face=37.0mm) n=[468, 332, 804, 587, 631, 278]  tape=1.542km B=8.53T unif=0.434% hoop=326MPa
  [ 106] INFEAS f=2878.313  a=62.4 b=60.6 gap=28.9 (face=33.9mm) n=[797, 480, 473, 631, 690, 451]  no evaluation (geometry pre-check)
  [ 107] INFEAS f=2145.175  a=51.6 b=51.3 gap=29.2 (face=34.5mm) n=[390, 863, 471, 174, 789, 377]  no evaluation (geometry pre-check)
  [ 108] viol   f= 126.984  a=39.8 b=47.0 gap=14.0 (face=4.0mm) n=[550, 262, 115, 126, 844, 774]  tape=0.873km B=11.44T unif=1.794% hoop=196MPa
  [ 109] viol   f=   5.074  a=78.0 b=89.6 gap=34.7 (face=45.4mm) n=[426, 757, 489, 871, 777, 485]  tape=2.212km B=8.80T unif=0.386% hoop=400MPa
  [ 110] viol   f= 102.264  a=36.1 b=59.2 gap=18.4 (face=12.7mm) n=[348, 724, 427, 391, 402, 475]  tape=1.033km B=11.64T unif=1.711% hoop=280MPa
  [ 111] viol   f=   3.791  a=59.9 b=94.7 gap=16.7 (face=9.3mm) n=[554, 263, 674, 697, 738, 291]  tape=1.759km B=10.45T unif=1.101% hoop=400MPa
  [ 112] INFEAS f=24193.284  a=47.2 b=28.1 gap=18.4 (face=12.9mm) n=[521, 405, 381, 736, 685, 313]  no evaluation (geometry pre-check)
  [ 113] INFEAS f=14655.126  a=49.3 b=35.8 gap=28.1 (face=32.2mm) n=[900, 469, 502, 869, 300, 819]  no evaluation (geometry pre-check)
  [ 114] OK     f=   1.546  a=64.4 b=70.3 gap=19.7 (face=15.4mm) n=[312, 157, 637, 721, 891, 466]  tape=1.546km B=10.25T unif=0.939% hoop=378MPa
  [ 115] OK     f=   2.371  a=57.2 b=105.9 gap=18.8 (face=13.7mm) n=[855, 774, 271, 900, 893, 370]  tape=2.371km B=12.98T unif=0.755% hoop=380MPa
